UPC,store_id,2023/1,2023/2,2023/3,2023/4,2023/5,2023/6,2023/7,2023/8,2023/9,2022/1,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,2022/10,2022/11,2022/12
670001040158,49,,,,,,,10,,,,,,,,10,5,,,,,
670001040158,50,,8,,1,,,9,,,,,,,,,,,,,,3
670001040158,51,7,,,,,,,,4,,,,,,5,,,4,,,
670001040158,52,,40,,340,,,,,0,30,10,20,60,10,210,,,,,,
670001040158,53,,,3,,3,,4,,,,,,,,,2,,,,,
670001040158,54,,3,,,,,,,,,,,2,3,,,5,,,,
670001040158,55,,,,,,,,,,,,,,,,,,1,,,
670001040158,56,,14,,,,,,,,,,,,10,,,,,6,,
670001040158,57,,20,80,150,,,,,,30,10,26,60,20,60,60,,,20,40,
670001040158,58,,,,2,,,,,,,,,,,,,,,,,
670001040158,59,,,10,,,,,,,,,,20,,,,,,,,
670001040158,60,,60,20,130,,,,0,0,20,10,25,70,40,40,300,,,,,
670001040158,61,,20,,,,12,,,,8,,,15,,,,,8,,,
670001040158,62,4,,,,,5,10,,,,,,,16,,,10,,,,
670001040158,63,,,,20,,,,20,20,,20,,40,110,,,,,,,
670001040158,64,31,12,29,16,20,21,20,26,5,9,20,21,25,24,45,13,26,18,9,24,20
670001040158,65,,,3,,5,,,,,,,,,,,,,,,3,
670001040158,66,160,60,330,930,,,,,50,,,10,340,220,200,180,700,-200,40,160,110
670001040158,67,,,3,5,,,,,,,,5,,3,,,,2,,,
670001040158,68,3,,,4,,,,,,2,3,,,,,,4,,,,
670001040158,69,,20,20,,30,,40,20,60,30,,,70,,40,20,,90,,,
670001040158,70,10,40,,150,,,,,,10,20,,40,20,50,40,,,,,10
670001040158,71,,8,,15,,,3,,,,4,6,10,,4,,,,,5,10
670001040158,72,,20,15,17,,30,,20,20,,,5,30,,25,,,20,15,,35
670001040158,73,,,,,,,8,12,,,,,10,,16,,,10,,12,
670001040158,74,1,,2,,,2,,2,,,,,8,,,2,1,,1,2,
670001040158,75,,10,,20,17,,,,10,6,10,,20,,20,,17,10,,11,9
670001040158,76,10,,10,20,,,20,,20,,,10,10,20,20,,,,20,,
670001040158,77,,10,,25,15,,,,5,,,7,15,,,,,,,10,20
670001040158,78,,,,,,,5,,,3,2,,2,4,,,,7,,5,
670001040158,79,22,,,4,30,,,,32,,,21,32,,,,,42,,,10
670001040158,80,10,20,,,,10,,,,10,,,10,30,,,10,10,,,10
670001040158,81,20,20,,40,,20,,10,20,,10,,30,,40,,,,20,,10
670001040158,82,,,16,,,,,,,,4,,,7,,,,,,,
670001040158,83,,15,,20,,10,,,10,10,,,10,25,13,,,,5,10,
670001040158,84,,10,10,,10,,20,,,,,,40,,,,,20,,,10
670001040158,85,,8,,,15,,5,10,5,,5,,15,,8,,,6,,10,
670001040158,86,,,,,,,,,,,,,110,60,180,,,,10,10,90
670001040158,87,,,,,,,,5,,4,,,,9,,,5,,,,
670001040158,88,,25,5,,10,,,20,,,10,10,20,,10,,,10,,10,
670001040158,89,350,800,600,1000,,,,,,470,150,230,760,450,640,700,,,170,290,320
670001040158,90,,,,,16,,,,,,,,,,,,,10,,15,
670001040158,91,,,,6,,,,,,,,,,,,,,,,,
670001040158,92,2,,11,10,,,,,,,,,6,,13,,,,10,,
670001040158,93,,,,36,,,,,,,,,,,,,,,,,20
670001040158,94,,,12,,17,,,8,,,10,15,,,13,,15,,,15,
670001040158,95,,,,,,,,,2,,,,,,,,,,,,
670001040158,96,,,30,,20,,,20,,,10,,20,10,20,,20,10,,,10
670001040158,97,,,20,,,,,20,,,,,10,,40,,,,,,
670001040158,98,,,,,,20,,,,,,,,,,,,,,,
670001040158,99,,,,,,,,1,,,,,,,,,,,,,
670001040158,100,,,,10,,,,,,,,,,,,,,,,,
670001040158,101,1,,,,,,,,,,2,1,3,2,,,,4,,,
670001040158,102,20,,,40,,,30,,,10,10,,10,10,40,,,30,,,
670001040158,103,,,20,30,,,,,,,20,,10,10,20,,,20,10,,10
670001040158,104,12,10,,60,,,,,,,7,,15,,27,,,,7,,
670001040158,105,4,,,6,,,,,4,,,,,,1,3,,,,,
670001040158,106,5,5,,10,10,,6,,4,,,3,3,,,5,7,,5,,6
670001040158,107,,,15,15,,,4,,6,7,11,,,,,,,14,,6,
670001040158,108,,,3,,,,,,4,,,,5,4,,5,,,,5,
670001040158,109,,25,20,,,,,,,,,,28,12,13,,,,,,
670001040158,110,,10,,,,10,8,,,10,,10,10,,17,,,,,14,15
670001040158,111,10,10,10,20,13,,10,,5,10,,50,20,5,,10,15,5,,35,20
670001040158,112,10,18,,,14,5,,12,,6,2,11,43,43,,,,10,,10,
670001040158,113,2,,4,,11,,,6,,,,,20,,,,1,,,5,
670001040158,114,,,,,,,10,,,,,,,,,,,,,,
670001040158,115,,20,,26,,,,15,8,15,,10,35,,38,2,,,10,8,20
670001040158,116,,10,,,,,,10,,10,,,20,,20,,,,20,,
670001040158,117,,,,,,,4,,3,,,,,,,,,,,,
670001040158,118,,,,4,,,,,,,,,,,,,,,16,,
670001040158,119,7,20,,,,10,,5,,,,,,8,,,,3,,,
670001040158,120,,,300,500,,,,,,30,,40,300,200,300,,,,,,
670001040158,121,,,,30,,,,5,,10,,,,,30,,,,,10,
670001040158,122,,,10,,,,,,,,,,6,,10,,,,,,
670001040158,123,,,8,,,,,,,,3,,15,,,,,4,,,4
670001040158,124,,,17,14,,,,,,,,,,,,,,,,,
670001040158,125,20,,25,,,10,,,,,,,20,10,,10,,15,,,
670001040158,126,1,,6,,,,4,,,7,,,2,,2,,1,8,,,5
670001040158,127,,,,,,,2,,3,,,,2,,,,1,,,,
670001040158,128,60,20,70,60,30,60,30,50,50,30,40,70,70,50,80,40,30,80,10,40,50
670001040158,129,30,30,20,40,30,0,20,,30,20,20,30,60,30,40,,20,30,10,30,10
670001040158,130,80,50,100,40,150,20,50,100,50,100,,40,150,30,100,100,20,100,50,80,40
670001040158,131,,,48,10,,,,,4,,,,10,,,,,,,,
670001040158,132,,,,7,4,,,,10,,,,12,,8,,,,5,,
670001040158,133,10,10,10,,10,,20,,,10,,10,10,10,20,10,10,20,,10,10
670001040158,134,,10,,20,20,10,20,10,10,,10,10,10,10,40,,,10,20,,10
670001040158,135,4,5,6,6,10,2,3,5,8,5,8,7,5,11,7,2,7,2,8,6,2
670001040158,136,,40,80,100,,,,,,,,20,50,50,110,,,,,,
670001040158,137,,,10,,,,,,,,,,,,9,,,,,,
670001040158,138,,,2,,,4,,3,,,,,,,,,,,,,
670001040158,139,6,21,,16,10,16,7,9,20,,9,1,12,14,40,,,3,12,6,7
670001040158,140,10,30,40,80,,50,30,,30,60,,20,50,100,100,,,,30,30,30
670001040158,141,5,10,20,,,,10,,10,,,4,25,,10,,,,13,,15
670001040158,142,3,,,6,,,,,,,10,,10,,,10,,5,8,,29
670001040158,143,,,,,,1,,,2,,,,,,,,,,,,
670001040158,144,10,90,,,,,,,,,,,60,,,,,,10,10,
670001040158,145,,20,,,20,,,20,10,10,,,20,22,,,10,,10,,15
670001040158,146,,12,,25,,,,,6,5,6,,6,14,,,13,12,-6,7,6
670001040158,147,,20,30,40,10,,10,20,20,20,,20,50,,20,30,20,20,,20,30
670001040158,148,,,5,,,,10,5,,,,,,,,10,,0,,,
670001040158,149,15,16,20,80,,,,20,10,20,,10,55,15,33,10,30,10,10,10,10
670001040158,150,,20,,15,,,5,10,5,,,5,10,,15,,,10,,5,10
670001040158,151,10,,70,70,,,,,,,,,40,40,55,,,,30,10,20
670001040158,152,10,17,,27,25,12,14,,10,5,15,,15,,20,,,15,,30,
670001040158,153,,,20,30,,,10,18,,10,25,,15,15,23,,20,15,,10,20
670001040158,154,,,,,,,,,,,,,10,,10,,,,,5,
670001040158,155,,5,6,8,,4,6,,,,,4,2,13,,4,5,6,,4,
670001040158,156,,20,10,120,,,,30,30,,20,20,40,30,,30,,10,30,,30
670001040158,157,,,,,3,,,,5,,,,,,,,,,,,
670001040158,158,,,,13,,7,,10,5,,10,,,10,,,,,,,
670001040158,159,75,40,100,330,,,,,,,,,30,70,340,,,,,,
670001040158,160,,,,,3,6,,,,,,6,,6,10,,,,,,
670001040158,161,12,10,,,,,6,,8,,12,,,,,,,,24,,
670001040158,162,2,,3,20,,,,,,2,5,5,,2,5,,,,1,1,5
670001040158,163,10,,20,,,7,,15,,10,,10,,10,,10,10,5,10,,
670001040158,164,1,3,2,,,,,,,,,,,4,3,,4,2,2,,
670001040158,165,8,11,16,11,,3,,5,18,,15,4,35,,18,,2,4,,6,7
670001040158,166,,,,,,,,,1,,,,,,,,,,2,,
670001040158,167,10,60,,100,,,,,,10,15,10,20,30,30,,,17,20,,10
670001040158,168,20,20,,40,,,,,,20,20,,40,,,,20,,20,,
670001040158,169,15,,,10,,20,10,,,,,,20,,30,,,,,,
670001040158,170,10,15,20,80,,,,,,20,,,10,50,35,,,,,20,
670001040158,171,,,,4,,,4,,,,,,,12,,,3,,3,,
670001040158,172,15,,5,40,,,,,,,,,20,10,15,20,15,40,30,,10
670001040158,173,20,30,40,20,40,50,20,20,30,20,20,20,30,30,30,20,30,20,20,30,20
670001040158,174,,,,10,,20,,,,,15,4,5,160,5,,,,,,20
670001040158,175,,,,14,,,,2,,2,3,,1,3,,1,,,,6,
670001040158,176,,,,18,,,,,,,,,9,,4,,,,,,
670001040158,177,6,,20,5,,,,,10,12,,,15,,20,,,,,10,
670001040158,178,10,20,10,30,20,20,30,10,20,10,10,10,30,20,40,30,,20,,20,20
670001040158,179,,20,,,,,,,,,,,,,,,,,,,
670001040158,180,10,,,5,,10,,,,5,,,5,8,,,5,10,,2,
670001040158,181,,15,,35,,20,30,10,10,10,,,20,20,20,20,,10,20,15,20
670001040158,182,10,10,10,20,15,,5,16,5,,20,10,10,10,30,,,10,,10,
670001040158,183,,,4,,,,,,2,,1,,,2,,,,,,,3
670001040158,184,10,,10,20,,,30,,,20,,10,20,,10,20,,10,10,,10
670001040158,185,10,15,20,30,,,,15,,5,,,5,10,10,25,,10,,10,180
670001040158,186,8,3,13,16,,,,5,,,2,2,8,,12,,10,,3,,9
670001040158,187,6,6,,10,,3,5,,8,1,,4,10,,,6,,,6,,3
670001040158,188,10,20,50,90,5,,5,5,,50,,5,20,15,29,8,,10,0,,12
670001040158,189,,,20,30,20,0,,,20,10,,7,10,20,40,,,,,,10
670001040158,190,10,10,35,20,20,0,20,,,,,,35,5,10,,,,,,
670001040158,191,,,,60,,,,,,13,,10,35,20,93,,,,,,
670001040158,192,,,15,,,,10,,10,10,-2,,10,,4,,,10,,10,5
670001040158,193,,3,,10,,10,,,10,10,,,,5,,5,4,,5,10,
670001040158,194,9,,10,2,10,,6,2,5,5,2,,6,10,5,,9,-3,4,8,
670001040158,195,,,,,,,,,,,,3,5,,,,10,,4,,5
670001040158,196,10,,,6,,7,5,,,,,,,,10,,,10,,,
670001040158,197,10,10,,20,,10,,10,8,,12,4,10,,,2,8,13,,8,
670001040158,198,25,20,40,60,,30,30,25,5,15,21,16,35,35,10,24,27,18,28,25,20
670001040158,199,,,15,,,,,,,,,,10,,,,,,,5,
670001040158,200,1,,,3,3,,,4,2,,,,2,,,2,,,2,,3
670001040158,201,,20,,45,,10,10,10,,10,,10,20,20,30,20,,,,20,
670001040158,202,10,,10,,,,,,20,20,,,,,,10,,,,,
670001040158,203,,,,12,,,,,,,,,6,,,11,,,18,7,
670001040158,204,10,15,25,4,15,26,7,12,16,,12,3,24,4,20,5,6,18,6,15,10
670001040158,205,,1,,,,,,,,2,,,,5,,2,9,,,,
670001040158,206,5,50,100,150,,,,,,10,20,17,60,30,80,,,,,10,10
670001040158,207,10,30,,67,17,30,12,30,10,,10,10,10,55,20,70,20,20,,10,10
670001040158,208,6,,20,30,,,,,,,5,,10,33,26,,,5,,,12
670001040158,209,,29,,,,,,,,4,,,4,,,3,,5,,3,
670001040158,210,,,20,50,,,,,,,,,10,10,20,,,,15,,30
670001040158,211,10,,,10,,,5,,,,10,,,,,,,10,,10,
670001040158,212,10,,20,25,,30,,,26,10,20,10,51,,40,11,10,10,16,10,7
670001040158,213,,,,,,,2,,2,,,,,5,,4,,3,,10,
670001040158,214,20,20,10,30,10,30,20,10,20,20,10,10,50,10,30,20,10,20,10,20,20
670001040158,215,30,60,58,70,13,120,5,10,20,14,15,10,19,12,76,14,5,13,14,30,32
670001040158,216,10,30,,,,,,10,,,20,,20,,10,,10,,,,10
670001040158,217,,,,,,,,,,15,11,14,25,15,20,13,30,6,11,2,28
670001040158,218,2,,3,,6,,,,,,,,,2,1,,,,,2,
670001040158,219,,6,,,14,,,4,,6,,6,,10,,6,,10,,10,
670001040158,220,,25,,,,,,,,,,,,,,,,,,,
670001040158,221,,,,6,,3,,,,,4,,6,,,,,,,,4
670001040158,222,,12,,,,,,4,,13,,,8,,,,,,,3,
670001040158,223,10,10,20,30,,12,11,10,10,19,,19,24,25,15,8,18,25,5,15,15
670001040158,224,2,43,70,122,2,6,30,44,5,16,42,55,4,55,4,40,35,34,4,43,36
670001040158,225,20,30,120,500,,,,,,,,,280,,,650,,,,,
670001040158,226,,,,2,,,,,,,,,,,,,,,,2,
670001040158,227,8,13,10,17,15,8,8,10,9,15,4,5,8,15,22,7,10,,12,10,5
670001040158,228,,11,,10,,,,,,,7,,14,,10,,,,5,,4
670001040158,229,,13,,15,,,6,,,5,7,,15,13,20,,,5,,10,
670001040158,230,12,,8,17,,,10,,6,,10,,10,,13,,,7,,,6
670001040158,231,,,,10,,,,,,,,,10,,,20,,,,,
670001040158,232,50,25,30,110,,50,,40,50,20,,50,40,40,45,50,,50,40,25,35
670001040158,233,,30,,30,,,12,,,,10,,20,,20,,,15,,,10
670001040158,234,,,3,,2,2,,3,,4,,2,,,,2,,,,,
670001040158,235,,,5,1,10,,,,,3,,,2,4,4,,,5,,,
670001040158,236,3,,1,3,,1,2,3,,,,,,,,,2,,,2,
670001040158,237,,10,,15,,,,,,,,,7,,18,25,,,,,
670001040158,238,,15,,15,7,,,,,,,3,16,,14,,,,,,
670001040158,239,,,,,3,5,2,,,,,1,4,2,,,2,3,,,
670001040158,240,10,10,,20,,,,,20,20,,,20,,10,,,20,,,
670001040158,241,,,,,,,,,,2,,,,2,,,,,,,
670001040158,242,17,20,10,30,,10,8,9,4,4,8,9,30,20,10,,15,20,6,10,4
670001040158,243,,3,,8,,4,7,,5,,2,2,,4,,4,4,6,4,,3
670001040158,244,,,20,15,,,,,,,,20,15,,15,,,15,,10,
670001040158,245,,20,,30,,,30,,,,,,30,30,20,,20,20,,,
670001040158,246,,,,,20,,,,,,12,,13,,,10,,,15,,
670001040158,247,20,,10,20,20,20,,20,10,,10,10,30,30,,,20,10,20,10,
670001040158,248,8,18,35,30,9,,18,22,13,17,11,16,25,15,20,10,10,14,16,10,16
670001040158,249,7,,28,,,4,3,7,4,11,,,21,10,20,,,3,12,10,8
670001040158,250,,,15,13,,,,,,,,10,26,,,,,,,7,2
670001040158,251,,,40,40,10,,20,40,,,20,20,20,160,,,,,,20,80
670001040158,252,,,18,40,,,,,,,,5,15,,35,,,,,,
670001040158,253,,5,,10,20,0,,,4,15,,10,,10,,15,,15,,17,10
670001040158,254,,,,12,,,,,,,,,,,,,,,,,
670001040158,255,,,,2,,4,2,1,3,,,,10,,,,,,,,
670001040158,256,10,10,30,30,,20,20,30,,10,10,10,45,8,20,,20,10,25,10,25
670001040158,257,,5,3,,,3,,,,,,3,6,,3,,,,4,,
670001040158,258,,20,,30,,,,,,,,5,30,,,,,,6,3,12
670001040158,259,,,,,,,,,,,,2,,,,,,,,,
670001040158,260,,10,,20,20,,,,,20,,10,10,20,20,,,20,,20,10
670001040158,261,5,10,,20,,,,10,,15,,10,,,15,,,,10,5,
670001040158,262,,,6,,,7,,7,,6,,,,,4,1,,,,,4
670001040158,263,13,15,8,12,20,32,7,3,4,20,10,5,30,10,40,5,15,22,5,13,15
670001040158,264,,1,13,10,3,3,2,7,5,3,5,6,20,4,4,2,10,,1,,13
670001040158,265,,,,,,,6,,,,,,,,,,,,,6,
670001040158,266,10,,25,15,,,5,,15,10,10,,25,,,5,15,10,,,17
670001040158,267,,,,,,,,,2,,,,,,,,,,,,
670001040158,268,,,80,40,,30,30,,40,,,,,,,,30,20,,,20
670001040158,269,,20,,40,,,,10,,,10,,25,,10,,,20,,5,
670001040158,270,5,,4,18,,0,,,8,,,6,15,,,3,5,,2,,4
670001040158,271,6,,10,22,,,12,4,,2,9,,6,11,,2,,4,,7,
670001040158,272,,,8,6,,,7,16,,,,,,,,,,,3,,1
670001040158,273,,,,,,,,,,,15,,24,,,,,,,,
670001040158,274,,,5,,,,,,,,10,,5,10,20,5,,10,13,5,10
670001040158,275,,,,,2,,,,,,,4,,,,3,,,,5,
670001040158,276,25,30,10,30,20,30,10,10,20,10,10,25,30,30,30,35,10,25,,30,10
670001040158,277,,100,,50,,,,,100,,30,,150,20,40,90,,,,,
670001040158,278,20,10,25,30,10,20,,10,10,20,10,,30,20,10,30,,10,20,10,
670001040158,279,,16,,12,5,,,4,3,5,5,,15,10,,10,5,,5,,7
670001040158,280,,,,,,3,3,,,,,,,,,,,,,,
670001040158,281,,20,,,,,,,,,,,,,,,,,,,
670001040158,282,,3,4,3,2,,2,8,,,,5,,3,,11,,,,3,
670001040158,283,4,4,9,4,5,,9,4,8,4,12,6,10,13,7,5,2,7,,8,1
670001040158,284,,,,40,,10,,,5,,,,10,10,60,,,,,,
670001040158,285,10,,20,10,,,,20,,,,10,20,,20,,10,,,10,
670001040158,286,,25,,33,,,,,,,,,21,,7,,,,5,-5,
670001040158,287,5,,,,,,,,,,,10,,,,,,12,,,
670001040158,288,,15,,60,15,,,,,3,4,,12,,15,,,2,6,,4
670001040158,289,10,,12,10,20,,10,,,10,10,,15,,15,10,7,,15,18,
670001040158,290,3,15,,12,,10,5,12,7,,10,7,11,10,,7,10,8,3,14,
670001040158,291,,,35,25,,,,,,,,,40,,30,,,20,,,30
670001040158,292,,,10,,,10,,14,,,2,,20,,,,11,,,9,
670001040158,293,,3,,,7,,,5,,7,,,4,5,8,,7,,8,10,
670001040158,294,,3,1,,,4,,,,2,2,,4,,3,,,,,3,
670001040158,295,,,,,2,,5,5,,,,,,,,,,,8,,
670001040158,296,,20,,40,,10,20,,10,10,5,,50,10,10,,10,30,,10,10
670001040158,297,,10,,,,15,,15,,10,,,,13,,5,,,5,,
670001040158,298,,5,,5,10,,,,,,,6,,,5,,,2,5,,
670001040158,299,10,10,20,20,10,30,10,10,10,,20,,30,20,10,20,,20,10,20,20
670001040158,300,11,15,,9,,,7,5,,,7,2,10,17,4,10,,12,,9,
670001040158,301,,,,30,,,,,,,,,,,40,,,,,,
670001040158,302,,,8,10,,,5,,10,,,20,13,,7,,,,,,4
670001040158,303,,20,,35,,,,,5,,12,15,,20,,8,16,5,,,13
670001040158,304,20,310,170,1050,,,100,30,40,,,,50,,,,,,,,
670001040158,305,,15,,,,,,,,,,,15,,,10,,5,,,
670001040158,306,,,,1,3,,3,,,,,1,,2,,3,,,4,,5
670001040158,307,6,,10,,2,6,10,,3,,7,3,14,,,3,,5,10,,3
670001040158,308,,,,,,,,,,1,,3,,,,,,,,,
670001040158,309,,20,,11,,,20,,,,,5,17,27,,,,,,,
670001040158,310,,10,,10,,2,7,5,,10,,17,,16,6,,8,7,,5,
670001040158,311,,,10,,10,,,10,,,,5,10,,25,,,,,,
670001040158,312,,16,12,31,36,,,14,,,15,20,10,2,25,,,15,,15,15
670001040158,313,,,,10,,,,,,,2,,,,,,,,,,
670001040158,314,,,,,,,,,,,,,8,,,,,,,,
670001040158,315,20,13,27,45,30,,,20,15,,20,,30,20,43,,,15,11,20,
670001040158,316,10,,15,20,,10,,10,10,5,,,15,,18,,9,5,,10,15
670001040158,317,,3,17,2,,,,10,12,,9,3,17,,5,,6,,5,9,
670001040158,318,,,13,,,,,,,,,10,,,16,,,,,5,
670001040158,319,,,,30,,,,,,,,7,15,,,,10,,,,
670001040158,320,,10,,,,,,,,,,,,,,,10,,,,
670001040158,321,,,30,,,,10,,6,,,,,14,,,6,,,14,
670001040158,322,,10,34,4,,10,,,,,,5,,45,,20,,,,32,4
670001040158,323,,,,,,,3,,,,,10,,,8,,,,,,3
670001040158,324,,,20,,,,,,,,,,10,,,,,,,,
670001040158,325,,25,,40,,,,,,,12,,20,10,,7,,15,5,,20
670001040158,326,2,16,,,12,,,,10,,10,,,,10,,,5,14,,
670001040158,327,,,15,,,,,10,,,,,,,,,,,,,
670001040158,328,,10,,20,,,,,,,,,,,20,,,,,5,
670001040158,329,5,20,,,10,10,10,,10,10,20,,15,15,,,15,5,,5,15
670001040158,330,16,34,30,,15,10,5,10,10,,12,18,22,10,29,12,10,22,5,24,8
670001040158,331,10,,,20,,20,20,,,10,10,,10,20,,10,,10,,10,10
670001040158,332,,,4,4,,12,,,1,4,,5,5,,3,,4,,,3,4
670001040158,333,30,,20,30,30,20,20,20,30,20,,10,40,,40,,20,30,,10,10
670001040158,334,12,12,42,18,,,,,,,8,,9,16,20,,,,9,10,
670001040158,335,10,15,,,10,,7,20,,6,5,,25,,25,,,,,,
670001040158,336,10,30,10,140,,,,,,30,18,15,20,33,90,,,,5,18,24
670001040158,337,15,20,,50,,,,,8,10,,,20,,55,,,,,10,10
670001040158,338,,10,30,170,,,,,,,,,10,,80,,,,,,
670001040158,339,3,4,,4,7,6,1,,3,5,,3,6,4,,5,1,,5,2,
670001040158,340,20,20,20,30,,,10,,20,10,10,20,10,20,30,,,20,10,30,
670001040158,341,,1,,1,1,,,,,,,,1,2,,,1,,1,2,
670001040158,342,,,,,,,,,,,,,,,,,,,4,,
670001040158,343,,20,,,,,,,,,,,20,,,,,20,,,
670001040158,344,40,40,40,120,,,,20,20,40,20,30,40,40,40,80,,,20,20,10
670001040158,345,3,4,8,7,6,1,,,4,,5,,9,2,16,3,,4,5,,
670001040158,346,,,1,,,,,,,,,,,,1,,,,,1,
670001040158,347,3,,,,,,,15,0,,,,,6,,5,,,10,-5,
670001040158,348,14,,,,4,,,1,14,10,8,17,21,,,,,8,,8,
670001040158,349,20,51,80,210,20,10,30,10,10,10,,5,81,33,30,80,10,10,,12,13
670001040158,350,5,,,4,,,,,,,5,,,,4,6,,,4,,
670001040158,351,1,3,,30,,,,,,,,,,,34,,,,,,5
670001040158,352,20,,30,10,10,10,,,20,20,30,10,20,20,20,10,30,10,20,20,20
670001040158,353,1,4,5,4,8,7,8,,5,5,2,3,7,7,6,6,5,,5,5,1
670001040158,354,,10,,,,5,,10,,,,6,20,,,,,12,,,
670001040158,355,10,,,,,0,,,10,,,,,5,,,,,,,
670001040158,356,,,,,,,,,10,,,,,,,,,,,,
670001040158,357,5,,5,10,10,,5,3,,,,,,3,10,8,4,,6,7,4
670001040158,358,,,100,300,,,,0,0,,40,45,90,60,20,400,,,,,
670001040158,359,10,30,40,10,,,,20,,,20,,20,,40,,,10,,,
670001040158,360,2,,20,,,,,,,7,,,9,,3,,5,,2,7,
670001040158,361,120,70,250,300,,,20,20,30,,20,40,170,120,50,280,,70,60,100,50
670001040158,362,,30,20,60,,,,20,,10,20,16,40,10,30,40,10,20,,20,20
670001040158,363,15,,20,15,,,,,15,,10,7,,30,20,,,,,,
670001040158,364,10,,45,10,,15,5,10,15,15,7,10,20,25,30,,,10,10,25,15
670001040158,365,,,25,,,,,,,10,20,,30,30,80,,,,,,
670001040158,366,,,10,100,,,,,,,10,8,10,20,,,,10,6,14,
670001040158,367,10,,10,25,10,10,10,15,,,10,23,10,30,15,10,20,10,10,,10
670001040158,368,,,2,5,,5,,,3,,,3,,,,,,4,,,
670001040158,369,,,,,,,,0,,,,,,,,,,,,,3
670001040158,370,,,,,,,,,,,,,10,,20,,,,,,
670001040158,371,,,15,25,,,,20,,,,10,10,20,25,,,,20,,
670001040158,372,15,10,,10,30,,,,5,10,,,15,5,,5,,8,10,10,
